url_from,url_to,nofollow,link_type,links_ext,link_text,first_seen,last_visited,domain_rank
http://blog.uofmuscle.com/44903/epilogue-week-of-march-21st/,https://www.samhsa.gov/find-help/national-helpline,follow,href,11,People want to help you,2021-03-26,2022-11-11 05:34:03,25
http://blog.tarleyrobinson.com/?p=3058,https://www.samhsa.gov/find-help/national-helpline,follow,href,12,https://www.samhsa.gov/find-help/national-helpline,2021-09-16,2022-11-06 20:28:11,18
http://blog.pepid.com/2021/09/01/suicide-prevention/,https://www.samhsa.gov/find-help/national-helpline,follow,href,18,SAMHSA’s National Helpline,2021-10-13,2022-10-29 01:53:43,17
http://blissful1zzzz.blogspot.com/2015/02/the-secret-life-of-teenage-caregiver.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,4,SAMHSA National Helpline,2021-02-06,2022-08-27 15:23:30,0
http://bjdlwz.com/index-487.html,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,14,https://www.samhsa.gov/find-help/national-helpline,2022-08-27,2022-08-27 15:37:29,0
http://billabong-pro-teahupoo.com/index-181.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,18,SAMHSA,2022-07-25,2022-07-25 08:02:03,0
http://bikers4christ.org/index-160.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,16,SAMHSA,2022-06-04,2022-10-06 19:33:21,19
http://bighornprevention.com/alcohol/,https://www.samhsa.gov/find-help/national-helpline,follow,href,10,SAMHSA National Helpline,2021-07-06,2022-05-29 17:02:39,5
http://bigcreekleather.com/coronavirus-loneliness-survey.html,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,4,national help hotline,2022-11-11,2022-11-11 00:41:28,0
http://beyondtherule.blogspot.com/2020/05/counsel-for-law-students-grieving.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,14,national helpline,2021-02-05,2022-09-30 14:43:29,12
"http://betterhealth.saintpetershcs.com/relateditems/6,1649096498",https://www.samhsa.gov/find-help/national-helpline,follow,href,8,Substance Abuse and Mental Health Services Administration,2021-01-24,2022-11-01 17:15:04,8
http://berserktakticalfarma.blogspot.com/2017_02_15_archive.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,40,www.samhsa.gov/find-help/national-helpline,2020-12-25,2022-08-19 22:17:28,11
http://beautyspies.com/2018/10/27/17-heart-wrenching-memoirs-about-addiction/,https://www.samhsa.gov/find-help/national-helpline,follow,href,8,Substance and Abuse Mental Health Services Administration,2019-09-06,2022-08-31 07:37:42,5
http://beautifullyimperfect.net/index.php/2020/08/17/making-mental-health-an-indispensable-priority/,https://www.samhsa.gov/find-help/national-helpline,follow,href,3,https://www.samhsa.gov/find-help/national-helpline,2020-12-20,2022-09-25 23:34:55,0
http://bayexpress.org/index-902.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,37,samhsa.gov,2022-08-28,2022-08-28 22:13:03,0
http://balancinglifecounselingcenter.com/resources,https://www.samhsa.gov/find-help/national-helpline,follow,href,9,https://www.samhsa.gov/find-help/national-helpline,2021-11-27,2022-09-30 05:45:25,0
http://back168.com/drug-abuse.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,19,Substance Abuse and Mental Health Services Administration (SAMHSA),2022-06-10,2022-10-11 18:09:28,0
http://babyboomr.com/?p=13202,https://www.samhsa.gov/find-help/national-helpline,follow,href,7,information for people struggling with alcohol abuse,2022-10-02,2022-10-02 14:35:09,0
http://babelouedstory.com/bibliographies/accueil_bibliographie/training-pdf-guide.php?pdf=DTR-Dietetic-Technician-Registered,http://www.samhsa.gov/find-help/national-helpline,follow,href,11,www.samhsa.gov/find-help/national-helpline,2022-10-02,2022-10-02 07:04:02,21
http://b2bsaudiarabia.com/index-663.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,23,Substance Abuse and Mental Health Services Administration National Helpline,2022-10-19,2022-10-19 17:12:57,5
http://atlantakangenbusiness.com/5-questions-to-ask-about-your-relationship-with-alcohol_l_6245d633e4b007d384533eae.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,29,SAMHSA National Helpline,2022-05-28,2022-09-29 15:31:56,0
http://atheistjewoftheus.blogspot.com/2016/01/jwsurveyorg-articles-and-recent-comments_11.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,32,www.samhsa.gov/find-help/national-helpline,2021-02-10,2022-11-05 00:06:18,12
http://asuretest.com/services/legal/index.php,http://www.samhsa.gov/find-help/national-helpline,follow,href,13,SAMHSA's National Helpline,2019-03-18,2022-10-23 06:52:35,14
http://artisdiberitain.blogspot.com/2019/04/britney-spears-addresses-speculation.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,16,SAMHSA National Helpline,2020-12-11,2022-10-01 03:30:25,0
http://aredhairgirl.com/depressed-while-pregnant-10-tips-to-help-you/,https://www.samhsa.gov/find-help/national-helpline,follow,href,20,National Helpline,2020-05-15,2022-09-29 21:32:42,28
http://archcity.media/2018/09/07/rapper-mac-miller-dead-at-26/,https://www.samhsa.gov/find-help/national-helpline,follow,href,19,Substance Abuse and Mental Health Services Administration national helpline,2019-04-22,2022-06-15 19:08:11,24
